customer,state,customer_lifetime_value,response,coverage,education,effective_to_date,employmentstatus,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,cluster,cluster_name
ZK25313,oregon,2872.051273,no,basic,high school or below,2011-02-19,employed,m,57749,suburban,single,74,31,21,0,1,personal auto,personal l2,offer1,branch,355.2,two-door car,medsize,2,Riskmakers
SV62436,washington,3041.791561,no,extended,bachelor,2011-01-21,disabled,f,13789,suburban,divorced,79,8,49,0,1,personal auto,personal l3,offer4,call center,379.2,four-door car,medsize,2,Riskmakers
YH23384,arizona,24127.50402,yes,basic,bachelor,2011-01-26,medical leave,m,14072,suburban,divorced,71,13,3,0,2,personal auto,personal l3,offer1,agent,511.2,four-door car,medsize,0,Steady Eddies
TZ98966,nevada,2450.190996,no,basic,bachelor,2011-02-24,unemployed,f,0,suburban,single,73,4,44,3,1,corporate auto,corporate l3,offer1,branch,554.376763,four-door car,medsize,0,Steady Eddies
HM55802,california,2392.10789,no,basic,bachelor,2011-02-05,disabled,f,17870,suburban,married,61,30,91,0,1,corporate auto,corporate l2,offer2,branch,439.2,four-door car,medsize,2,Riskmakers
FS42516,oregon,5802.065978,no,basic,college,2011-01-29,employed,m,97541,suburban,married,72,22,1,0,3,personal auto,personal l3,offer2,call center,389.185006,four-door car,large,2,Riskmakers
US89481,california,3946.372085,no,premium,bachelor,2011-02-28,unemployed,f,0,suburban,single,111,15,47,0,1,personal auto,personal l3,offer1,agent,799.2,four-door car,small,0,Steady Eddies
HO30839,washington,5346.916576,no,extended,master,2011-02-12,disabled,f,10511,urban,married,139,33,64,0,1,corporate auto,corporate l1,offer1,branch,516.237951,suv,medsize,0,Steady Eddies
GE62437,arizona,12902.56014,no,premium,college,2011-02-02,employed,f,86584,suburban,single,111,33,54,2,2,personal auto,personal l3,offer1,call center,532.8,four-door car,large,0,Steady Eddies
EJ77678,oregon,3235.360468,no,extended,master,2011-02-07,employed,f,75690,suburban,married,80,17,44,1,1,personal auto,personal l3,offer2,branch,384.0,four-door car,small,2,Riskmakers
SV85652,arizona,2454.58354,no,basic,college,2011-02-28,employed,m,23158,suburban,married,63,4,6,1,1,personal auto,personal l2,offer4,call center,322.294043,four-door car,small,2,Riskmakers
UL64533,nevada,18975.45611,no,extended,high school or below,2011-01-22,employed,m,65999,urban,married,237,1,14,0,6,corporate auto,corporate l2,offer2,agent,615.927769,luxury suv,medsize,3,Fresh Starts
PF41800,california,4715.321344,no,basic,bachelor,2011-01-25,unemployed,m,0,urban,married,65,19,56,0,3,personal auto,personal l3,offer1,call center,308.15089,four-door car,medsize,2,Riskmakers
AO98601,washington,5018.885233,no,basic,bachelor,2011-01-18,employed,m,54500,suburban,married,63,28,17,0,6,corporate auto,corporate l2,offer1,agent,302.4,two-door car,small,1,High Rollers
SK67821,oregon,4932.916345,no,basic,bachelor,2011-02-13,employed,f,37260,rural,married,62,19,42,0,8,corporate auto,corporate l1,offer3,web,15.437681,four-door car,medsize,1,High Rollers
YV55495,arizona,5744.229745,no,basic,high school or below,2011-01-15,employed,f,68987,urban,married,71,11,40,0,6,personal auto,personal l1,offer1,branch,204.475147,four-door car,medsize,1,High Rollers
KY38074,california,13891.73567,no,premium,bachelor,2011-01-08,employed,m,42305,suburban,married,117,10,62,0,2,personal auto,personal l3,offer1,agent,561.6,four-door car,small,0,Steady Eddies
DM79012,oregon,7380.976717,no,extended,master,2011-02-06,employed,f,65706,suburban,married,91,19,86,0,8,personal auto,personal l3,offer2,web,436.8,four-door car,small,1,High Rollers
CM61827,oregon,3090.034104,no,extended,bachelor,2011-01-25,unemployed,m,0,suburban,single,90,7,79,0,1,personal auto,personal l2,offer3,agent,648.0,two-door car,small,0,Steady Eddies
WC35801,arizona,2521.633095,no,basic,high school or below,2011-02-07,employed,m,53243,rural,divorced,66,4,15,2,1,personal auto,personal l3,offer1,call center,157.397849,four-door car,medsize,2,Riskmakers
QG25316,nevada,2652.061785,no,basic,high school or below,2011-01-18,unemployed,f,0,suburban,married,70,7,1,1,1,corporate auto,corporate l3,offer3,call center,484.318536,two-door car,medsize,0,Steady Eddies
MB98372,oregon,2771.045031,yes,basic,college,2011-01-11,employed,f,50071,rural,single,71,3,32,0,1,corporate auto,corporate l3,offer2,agent,18.918935,two-door car,medsize,2,Riskmakers
IL19217,california,3939.00637,yes,extended,bachelor,2011-01-28,employed,f,60021,suburban,married,99,12,28,0,1,personal auto,personal l2,offer2,agent,882.871945,four-door car,small,0,Steady Eddies
SR38658,arizona,12231.87968,no,basic,high school or below,2011-02-08,employed,m,43244,suburban,married,103,15,16,0,2,personal auto,personal l2,offer4,agent,494.4,sports car,medsize,0,Steady Eddies
DH41343,washington,2443.665166,no,basic,college,2011-02-23,employed,m,92834,suburban,married,61,15,56,0,1,special auto,special l2,offer2,call center,292.8,four-door car,large,2,Riskmakers
HG65722,oregon,12819.10289,no,premium,doctor,2011-01-25,disabled,f,10105,rural,married,172,5,4,3,3,personal auto,personal l2,offer1,branch,0.517753,suv,medsize,2,Riskmakers
BU27331,arizona,4468.510542,no,basic,bachelor,2011-01-31,unemployed,m,0,suburban,single,73,7,57,3,5,personal auto,personal l3,offer3,call center,579.165954,four-door car,medsize,1,High Rollers
XM45289,oregon,5514.344018,no,basic,high school or below,2011-01-02,employed,f,23218,suburban,single,71,7,10,0,4,personal auto,personal l2,offer4,agent,447.79344,two-door car,medsize,2,Riskmakers
KP34198,california,3343.875326,no,extended,bachelor,2011-02-07,unemployed,f,0,suburban,married,92,11,77,0,1,corporate auto,corporate l2,offer2,call center,529.624084,four-door car,medsize,0,Steady Eddies
SH90947,arizona,2294.478927,no,basic,high school or below,2011-01-18,unemployed,f,0,suburban,married,62,11,56,0,1,personal auto,personal l2,offer4,branch,313.023175,four-door car,medsize,2,Riskmakers
WE95729,oregon,36707.42639,no,basic,college,2011-01-17,employed,m,24804,suburban,married,104,1,28,0,2,personal auto,personal l2,offer1,agent,593.830288,suv,small,0,Steady Eddies
PY51963,california,33473.34946,yes,basic,bachelor,2011-01-11,employed,f,33190,suburban,divorced,106,18,95,0,2,corporate auto,corporate l1,offer1,web,508.8,suv,medsize,0,Steady Eddies
RB69909,nevada,7983.431709,no,basic,high school or below,2011-02-21,employed,f,36014,rural,married,69,4,40,3,2,special auto,special l1,offer4,branch,173.956072,four-door car,medsize,2,Riskmakers
XR95069,washington,4854.745666,no,basic,bachelor,2011-02-16,employed,m,29834,suburban,single,64,19,44,0,3,personal auto,personal l3,offer4,agent,307.2,four-door car,medsize,2,Riskmakers
FR46645,california,4293.997319,no,premium,bachelor,2011-01-17,disabled,m,16701,suburban,married,113,20,26,0,1,personal auto,personal l2,offer1,branch,831.625979,four-door car,small,0,Steady Eddies
SY17488,arizona,7164.395543,no,extended,college,2011-02-05,employed,f,46623,suburban,divorced,91,1,53,0,3,corporate auto,corporate l3,offer3,call center,436.8,four-door car,small,2,Riskmakers
AP67935,california,7619.5158,no,basic,college,2011-02-13,employed,m,64749,urban,married,64,24,59,0,2,special auto,special l2,offer2,branch,302.56519,four-door car,medsize,2,Riskmakers
FS37417,arizona,3958.002823,no,basic,high school or below,2011-02-23,unemployed,f,0,suburban,married,101,29,12,0,1,personal auto,personal l2,offer1,call center,484.8,suv,small,0,Steady Eddies
ML29312,oregon,4499.493252,no,extended,high school or below,2011-01-28,disabled,f,16969,suburban,divorced,124,34,47,2,1,personal auto,personal l3,offer1,call center,704.768111,suv,medsize,0,Steady Eddies
UB61619,oregon,4059.567414,no,premium,master,2011-02-28,disabled,f,11621,suburban,divorced,108,4,98,0,1,personal auto,personal l1,offer1,agent,518.4,four-door car,medsize,0,Steady Eddies
CD86811,arizona,4458.113369,yes,basic,bachelor,2011-01-02,retired,m,17622,suburban,divorced,65,1,36,1,3,personal auto,personal l1,offer1,agent,312.0,four-door car,medsize,2,Riskmakers
RU83859,california,8110.333139,no,premium,bachelor,2011-01-22,medical leave,f,11489,suburban,married,105,4,50,0,6,personal auto,personal l3,offer1,call center,504.0,two-door car,small,1,High Rollers
FG63582,oregon,3339.764873,no,extended,bachelor,2011-01-15,unemployed,m,0,suburban,single,94,20,53,0,1,personal auto,personal l3,offer1,agent,863.327324,two-door car,small,0,Steady Eddies
NN71951,california,24261.01777,no,basic,high school or below,2011-01-27,employed,f,66525,rural,married,100,0,86,0,2,personal auto,personal l3,offer1,agent,104.331355,suv,medsize,2,Riskmakers
WB37082,arizona,6613.973653,no,basic,bachelor,2011-01-23,unemployed,f,0,suburban,single,63,21,28,0,2,personal auto,personal l3,offer3,branch,676.391482,four-door car,large,0,Steady Eddies
SM52139,washington,2930.693543,no,basic,college,2011-01-31,employed,m,33663,suburban,married,73,29,71,0,1,personal auto,personal l3,offer3,web,350.4,four-door car,medsize,2,Riskmakers
FL82372,oregon,8672.194272,no,basic,college,2011-01-26,employed,f,22547,suburban,divorced,112,7,60,0,3,corporate auto,corporate l3,offer1,agent,537.6,suv,medsize,0,Steady Eddies
DP45816,arizona,11638.66926,no,extended,high school or below,2011-01-10,employed,f,61486,urban,married,97,5,65,0,2,personal auto,personal l3,offer4,branch,465.258644,two-door car,small,0,Steady Eddies
GW33762,oregon,6846.150323,yes,extended,bachelor,2011-01-27,unemployed,f,0,suburban,divorced,95,13,20,0,5,personal auto,personal l3,offer1,call center,456.0,two-door car,large,1,High Rollers
RZ33670,california,11727.77648,no,premium,college,2011-01-09,disabled,f,29879,suburban,married,102,17,0,0,2,personal auto,personal l3,offer3,web,500.254235,four-door car,medsize,0,Steady Eddies
PY70169,oregon,22643.83478,no,basic,high school or below,2011-02-24,employed,m,93011,rural,divorced,113,17,12,0,2,personal auto,personal l3,offer4,agent,281.451042,suv,medsize,2,Riskmakers
MO91628,oregon,2614.474305,no,basic,master,2011-02-11,employed,m,65186,rural,married,65,29,27,0,1,personal auto,personal l2,offer2,web,5.434505,two-door car,large,2,Riskmakers
HW87852,oregon,2451.752695,no,basic,master,2011-02-12,medical leave,m,26840,suburban,married,64,1,47,2,1,personal auto,personal l1,offer1,agent,307.2,four-door car,medsize,2,Riskmakers
HB20453,oregon,6781.270203,no,basic,bachelor,2011-02-04,unemployed,m,0,suburban,single,104,30,3,1,5,personal auto,personal l3,offer1,agent,982.399613,sports car,medsize,0,Steady Eddies
BN87372,oregon,4974.801539,yes,basic,bachelor,2011-01-18,employed,m,75644,suburban,divorced,65,5,68,3,9,personal auto,personal l3,offer2,branch,467.803638,two-door car,medsize,1,High Rollers
YX23800,oregon,8591.604933,no,basic,bachelor,2011-02-11,employed,m,38984,suburban,married,73,27,38,0,2,personal auto,personal l3,offer2,branch,350.4,four-door car,small,2,Riskmakers
DZ87709,oregon,5592.161392,no,basic,high school or below,2011-02-01,employed,f,71811,rural,single,71,17,48,0,6,personal auto,personal l1,offer2,call center,29.03416,four-door car,medsize,1,High Rollers
XW13033,nevada,8009.472833,no,basic,college,2011-02-15,employed,m,20961,suburban,married,67,20,33,0,2,personal auto,personal l1,offer2,agent,321.6,four-door car,medsize,2,Riskmakers
LN31673,washington,11318.08982,no,extended,college,2011-02-06,employed,m,38923,rural,married,99,6,83,2,2,personal auto,personal l3,offer1,agent,115.728852,four-door car,medsize,2,Riskmakers
OM82309,california,58166.55351,no,basic,bachelor,2011-02-27,employed,m,61321,rural,single,186,0,30,1,2,personal auto,personal l3,offer2,branch,427.63121,luxury car,small,0,Steady Eddies
ZU35962,california,8025.229358,no,extended,college,2011-01-26,unemployed,f,0,rural,single,77,20,26,0,2,personal auto,personal l3,offer3,branch,25.807685,two-door car,large,2,Riskmakers
VH85817,california,5780.182197,yes,basic,high school or below,2011-02-26,employed,m,51066,suburban,single,74,23,0,0,8,personal auto,personal l3,offer2,call center,787.993313,four-door car,medsize,1,High Rollers
DT85712,california,4118.539113,no,basic,doctor,2011-01-27,employed,m,34378,suburban,married,102,12,54,0,1,personal auto,personal l1,offer3,branch,489.6,suv,medsize,0,Steady Eddies
YJ88573,nevada,2523.07015,no,basic,master,2011-01-16,employed,m,43072,suburban,married,63,35,15,0,1,personal auto,personal l3,offer2,call center,302.4,four-door car,large,2,Riskmakers
SQ19467,oregon,6554.216396,no,extended,college,2011-01-27,disabled,f,25222,suburban,single,90,28,69,0,3,personal auto,personal l3,offer2,agent,475.623251,four-door car,small,0,Steady Eddies
HF88410,washington,7703.397294,no,basic,high school or below,2011-02-28,employed,m,36765,suburban,married,66,15,32,1,2,personal auto,personal l2,offer1,call center,320.849072,four-door car,medsize,2,Riskmakers
ET79815,california,5926.729379,yes,extended,college,2011-01-25,retired,m,23091,suburban,married,96,28,90,5,5,personal auto,personal l1,offer1,agent,460.8,four-door car,medsize,1,High Rollers
QC35222,california,2683.470677,no,basic,bachelor,2011-01-01,employed,f,48269,urban,married,69,3,79,3,1,corporate auto,corporate l2,offer3,web,282.151207,four-door car,medsize,2,Riskmakers
CJ15590,oregon,2695.182419,no,basic,bachelor,2011-02-01,employed,f,32720,suburban,divorced,67,13,12,0,1,personal auto,personal l2,offer3,branch,321.6,four-door car,medsize,2,Riskmakers
OI48267,california,6047.02516,yes,extended,college,2011-02-19,employed,m,20396,suburban,married,76,15,60,1,4,personal auto,personal l3,offer1,branch,364.8,four-door car,medsize,2,Riskmakers
JY67916,oregon,13171.01282,no,premium,college,2011-01-27,medical leave,m,21513,suburban,married,119,21,81,1,2,personal auto,personal l3,offer2,branch,679.827592,two-door car,small,0,Steady Eddies
OE75231,washington,10656.88195,yes,extended,bachelor,2011-02-27,employed,f,72540,suburban,married,88,7,3,0,2,corporate auto,corporate l3,offer2,call center,631.743039,two-door car,medsize,0,Steady Eddies
CZ33664,oregon,2527.653796,no,basic,bachelor,2011-01-17,employed,f,80744,rural,married,63,24,84,0,1,corporate auto,corporate l3,offer1,agent,11.879037,four-door car,medsize,2,Riskmakers
WK30175,oregon,2672.095756,no,basic,bachelor,2011-02-10,employed,m,52822,suburban,married,67,23,88,0,1,corporate auto,corporate l1,offer1,branch,350.529033,two-door car,small,2,Riskmakers
ON44465,california,5313.294035,no,extended,high school or below,2011-01-24,unemployed,f,0,suburban,single,77,8,10,1,9,personal auto,personal l2,offer1,agent,863.3947,four-door car,medsize,1,High Rollers
TV87155,oregon,20946.19251,no,basic,bachelor,2011-02-24,employed,f,69738,suburban,married,74,2,26,1,2,personal auto,personal l3,offer1,branch,492.127532,four-door car,large,2,Riskmakers
KH48895,arizona,8375.353929,no,basic,master,2011-02-15,medical leave,f,17780,rural,married,109,12,18,0,9,personal auto,personal l3,offer1,branch,132.588288,suv,medsize,1,High Rollers
NZ30757,california,4801.661503,no,basic,bachelor,2011-02-16,medical leave,m,18107,suburban,married,62,29,11,0,8,personal auto,personal l2,offer1,agent,297.6,four-door car,medsize,1,High Rollers
RI22468,arizona,5745.94334,no,basic,bachelor,2011-01-22,employed,f,57740,urban,married,74,30,87,3,9,personal auto,personal l1,offer3,web,269.905129,four-door car,medsize,1,High Rollers
FZ30935,oregon,6066.115969,no,extended,college,2011-02-25,employed,m,32627,suburban,married,76,11,60,0,7,personal auto,personal l2,offer1,agent,380.036697,two-door car,small,1,High Rollers
UG93476,california,8002.308333,yes,basic,college,2011-01-11,unemployed,f,0,suburban,married,107,3,65,0,3,personal auto,personal l3,offer1,agent,513.6,suv,medsize,0,Steady Eddies
AB96670,california,2393.915369,yes,basic,college,2011-01-31,unemployed,m,0,suburban,single,70,24,10,0,1,personal auto,personal l1,offer1,branch,425.266308,four-door car,medsize,2,Riskmakers
XK64261,oregon,4762.8179,no,basic,bachelor,2011-01-12,employed,m,65795,rural,single,62,2,85,1,3,corporate auto,corporate l3,offer3,call center,49.011099,two-door car,medsize,2,Riskmakers
EV68375,california,4330.38602,yes,premium,college,2011-02-16,employed,m,60475,suburban,married,107,9,18,0,1,personal auto,personal l3,offer2,branch,513.6,four-door car,medsize,0,Steady Eddies
UN51653,california,9402.729769,no,extended,high school or below,2011-02-09,unemployed,f,0,suburban,single,130,28,88,0,4,personal auto,personal l3,offer1,web,936.0,suv,medsize,0,Steady Eddies
TO96662,oregon,6966.694527,no,extended,bachelor,2011-01-19,employed,f,41837,rural,married,88,29,93,0,9,personal auto,personal l3,offer1,call center,142.062768,four-door car,small,1,High Rollers
MR52087,california,7694.064293,no,basic,bachelor,2011-01-04,employed,f,32303,rural,married,65,13,34,0,2,personal auto,personal l1,offer3,branch,45.152521,four-door car,medsize,2,Riskmakers
DE75225,oregon,8717.561149,no,basic,high school or below,2011-01-09,unemployed,m,0,suburban,married,117,5,89,1,3,personal auto,personal l1,offer1,agent,561.6,suv,medsize,0,Steady Eddies
EP80820,california,5928.748528,no,basic,bachelor,2011-01-27,employed,f,40531,rural,married,74,17,32,0,9,personal auto,personal l3,offer1,agent,30.567357,two-door car,medsize,1,High Rollers
GU99037,oregon,2452.977288,no,basic,college,2011-02-14,employed,m,79898,urban,married,62,5,86,1,1,corporate auto,corporate l1,offer4,agent,271.606799,four-door car,medsize,2,Riskmakers
WI57118,california,6701.571657,no,extended,college,2011-02-27,employed,m,56398,suburban,married,85,4,18,0,7,personal auto,personal l3,offer4,agent,408.0,four-door car,small,1,High Rollers
YQ74870,washington,7556.24034,no,extended,high school or below,2011-02-12,employed,m,35257,suburban,divorced,98,16,2,1,8,corporate auto,corporate l2,offer2,web,470.4,four-door car,small,1,High Rollers
MQ14219,arizona,8492.6988,no,basic,college,2011-02-26,employed,m,27804,suburban,married,109,19,54,0,7,personal auto,personal l3,offer2,branch,784.8,suv,medsize,1,High Rollers
KN20603,oregon,7713.494046,no,basic,bachelor,2011-02-20,employed,m,45506,suburban,single,66,16,32,2,2,personal auto,personal l3,offer1,agent,316.8,four-door car,medsize,2,Riskmakers
CR48975,washington,24084.5352,no,basic,high school or below,2011-02-02,employed,m,65196,suburban,married,67,0,54,0,2,personal auto,personal l2,offer4,branch,396.082036,four-door car,medsize,2,Riskmakers
JI70886,california,7290.069769,no,basic,high school or below,2011-02-15,unemployed,m,0,suburban,married,102,11,70,1,3,corporate auto,corporate l2,offer1,agent,489.6,suv,medsize,0,Steady Eddies
VF72557,oregon,4772.943848,yes,extended,high school or below,2011-02-18,retired,m,20993,suburban,divorced,133,35,90,0,1,personal auto,personal l3,offer2,agent,638.4,suv,medsize,0,Steady Eddies
OX28638,arizona,6806.491395,no,extended,high school or below,2011-01-21,employed,m,37839,suburban,married,86,35,77,0,9,personal auto,personal l3,offer2,branch,465.633954,two-door car,medsize,1,High Rollers
SK55033,california,2469.781334,no,basic,bachelor,2011-01-15,employed,f,92711,suburban,single,62,24,10,0,1,personal auto,personal l2,offer3,agent,368.400146,two-door car,medsize,2,Riskmakers
OO88645,california,3103.923041,no,extended,college,2011-02-05,employed,f,74665,urban,married,78,10,90,2,1,corporate auto,corporate l2,offer2,call center,236.902001,four-door car,medsize,2,Riskmakers
YT36855,washington,2981.875575,no,extended,college,2011-02-24,unemployed,m,0,suburban,married,83,26,89,0,1,personal auto,personal l2,offer3,web,582.679087,two-door car,medsize,0,Steady Eddies
CW82151,california,8902.737595,no,basic,bachelor,2011-01-05,employed,m,46833,rural,married,112,6,3,0,9,personal auto,personal l3,offer1,call center,64.109663,sports car,medsize,1,High Rollers
DY22043,oregon,5499.447223,no,basic,high school or below,2011-01-28,employed,f,88768,suburban,married,68,17,77,0,7,personal auto,personal l3,offer3,branch,326.4,two-door car,small,1,High Rollers
SH36774,california,15023.59858,no,basic,high school or below,2011-01-12,employed,m,28262,suburban,single,192,9,77,0,3,personal auto,personal l3,offer3,web,921.6,luxury suv,medsize,3,Fresh Starts
EM43724,nevada,2509.107875,no,basic,bachelor,2011-02-16,employed,f,33555,rural,married,63,17,11,0,1,personal auto,personal l3,offer1,agent,101.89645,four-door car,medsize,2,Riskmakers
FH85960,oregon,31221.7481,no,premium,college,2011-01-03,employed,m,42780,suburban,divorced,113,10,27,1,2,personal auto,personal l2,offer1,call center,542.4,four-door car,medsize,0,Steady Eddies
XA55993,oregon,3133.503432,no,extended,master,2011-02-07,employed,f,58850,rural,single,78,20,26,0,1,personal auto,personal l3,offer2,branch,143.747794,four-door car,medsize,2,Riskmakers
GO36627,arizona,3837.451863,no,extended,college,2011-01-13,employed,m,21880,urban,married,97,29,37,0,1,special auto,special l2,offer1,branch,424.077159,four-door car,medsize,0,Steady Eddies
QH48047,oregon,11790.49617,yes,basic,college,2011-01-03,retired,m,25251,suburban,divorced,66,13,43,0,2,personal auto,personal l2,offer2,web,316.8,four-door car,medsize,2,Riskmakers
RB50392,washington,7838.068321,no,basic,master,2011-02-17,unemployed,f,0,rural,married,69,9,12,0,2,personal auto,personal l1,offer2,agent,2.704934,four-door car,medsize,2,Riskmakers
UH65059,arizona,4305.808345,no,basic,high school or below,2011-01-21,employed,m,24188,suburban,married,109,14,82,0,1,personal auto,personal l3,offer1,agent,523.2,sports car,medsize,0,Steady Eddies
FV21968,nevada,5973.976904,no,basic,bachelor,2011-01-26,employed,f,41611,rural,married,74,14,8,0,8,special auto,special l2,offer1,branch,113.801497,four-door car,medsize,1,High Rollers
QA87025,oregon,5670.442396,no,basic,bachelor,2011-01-31,employed,f,28406,urban,married,72,16,35,1,4,personal auto,personal l3,offer1,call center,192.87572,four-door car,medsize,2,Riskmakers
TQ13499,arizona,4731.749346,no,premium,college,2011-01-02,employed,m,69833,suburban,married,118,32,99,0,1,personal auto,personal l3,offer1,agent,828.662719,four-door car,small,0,Steady Eddies
BU44523,arizona,8026.379641,no,basic,high school or below,2011-02-07,unemployed,f,0,suburban,single,74,15,91,0,2,corporate auto,corporate l2,offer1,web,532.8,four-door car,small,0,Steady Eddies
MS41162,arizona,4022.963529,no,basic,high school or below,2011-01-26,unemployed,m,0,suburban,single,117,6,1,0,1,personal auto,personal l3,offer1,agent,975.107098,suv,medsize,0,Steady Eddies
PU25891,oregon,9618.310865,no,basic,high school or below,2011-01-11,employed,f,80536,rural,married,119,5,83,0,3,special auto,special l2,offer1,branch,53.798708,sports car,medsize,2,Riskmakers
RB81636,washington,2274.775451,no,basic,college,2011-01-15,unemployed,f,0,suburban,single,63,2,5,0,1,personal auto,personal l2,offer2,agent,606.642452,four-door car,small,0,Steady Eddies
SX26335,oregon,9552.926922,no,extended,college,2011-02-08,employed,f,97732,urban,married,79,0,70,0,2,personal auto,personal l3,offer4,branch,289.9122,four-door car,medsize,2,Riskmakers
AZ95587,arizona,10388.55323,no,extended,bachelor,2011-01-11,employed,f,61222,urban,single,89,20,55,0,2,special auto,special l3,offer3,branch,392.604371,four-door car,small,2,Riskmakers
DS81757,oregon,2470.121222,no,basic,college,2011-01-09,unemployed,m,0,suburban,single,74,7,20,0,1,personal auto,personal l1,offer4,web,721.242206,two-door car,large,0,Steady Eddies
OJ94107,arizona,5619.068508,no,premium,master,2011-02-04,employed,m,50335,urban,married,140,9,54,0,1,personal auto,personal l2,offer1,call center,456.52385,suv,medsize,0,Steady Eddies
LP84436,california,9047.119209,no,extended,high school or below,2011-01-21,unemployed,f,0,suburban,single,127,30,11,0,6,personal auto,personal l2,offer3,branch,1087.995426,sports car,medsize,3,Fresh Starts
YV64727,washington,6692.143668,no,premium,high school or below,2011-02-16,employed,m,63221,suburban,married,168,28,49,0,1,corporate auto,corporate l3,offer3,agent,806.4,suv,medsize,3,Fresh Starts
LM19287,oregon,3731.504584,yes,extended,high school or below,2011-02-24,unemployed,f,0,suburban,married,96,31,34,0,1,personal auto,personal l1,offer1,agent,460.8,four-door car,large,0,Steady Eddies
